tweet_id,conversation_id,customer_message,brand_response,generated_reply,intent,expected_action,notes
2287222,2287222,@AppleSupport Thank you. The screen remains black with absolutely no change in brightness. The only signs of life are the cooling fan turning on and the sleep indicator light which holds as a solid white,@664541 Have you checked your brightness? Please use the brightness keys on your keyboard to see if the display brightens. Do you see a cursor on the black screen or is that not showing either?,,,,
2436882,2436882,Hey @115858 I just had a mini heart attack cause iCloud got turned off when I restarted my phone and all my pictures were suddenly gone (1/?),@699079 We do understand your concern &amp; how important photos are. Did they all return once you enabled iCloud Photo Library?,,,,
228466,228466,@115858 fix this shit . Like wtf,"@170457 We want to help you with this. We see that you forced closed your apps, that's a great step to try. Have you restarted your iPhone since this issue started? Which iOS are you running? Check here: Settings &gt; General &gt; About &gt; Version.",,,,
2838680,2838680,"Every #iOS upgrade brings with it fresh problems and user-unfriendly changes. Why does my lock screen now have ""Apple Music"" on it with a play button center screen? I can't get rid of it! Help me @AppleSupport !","@330288 Let's look into this together to determine what's going on. To clarify, which version of iOS do you have installed? You can check under Settings &gt; General &gt; About. Also, is your Music app running in the background?",,,,
291416,291416,@AppleSupport I’m not sure if you guys sent this to me or someone is phishing for my account info,@185385 We'd like to help. That is not a genuine message. You can report the message as outlined here:,,,,
2051228,2051228,Thanks @115858 for #ios11 ! Great job - it's utter trash. Slow and buggy. All this pain for what??,@606609 We'll be glad to assist. Are you using a specific app when your device is slow? Please DM us with the details.,,,,
121549,121549,@AppleSupport 30 minutos y no abre la pagina!,@143062 We offer support via Twitter in English. Get help in Spanish here: or join,,,,
2708482,2708482,"@AppleSupport Nope, I.T &lt;—-still is messed up","@760585 Let's restart your device by following these steps here: If the issue persists, please DM us and we'll continue with additional steps.",,,,
457229,457229,@AppleSupport the newest update makes my phone’s brightness change on its own. How do I make it stop? It’s so irritating!,@223560 Sure thing. Auto-brightness can be disabled under Settings &gt; General &gt; Accessibility &gt; Display Accommodations. Keep in mind that disabling this feature may decrease battery life.,,,,
1531034,1531034,@AppleSupport I updated my iPhone 6S to iOS 11 and the new Podcast App does not appear to let me view or edit my queue. Please help or fix.,@474973 We'd love to offer our help. Are you referencing curating your Up Next queue?,,,,
1924282,1924282,Frustrated with iPhone bugs @115858 @116333,@572776 We'd like to take a closer look at the issues you're having with your iPhone. DM us more details to get started.,,,,
1710663,1710663,@AppleSupport why is my phone not recognizing the lowercase I? I don’t get what’s happening,@518228 Here’s what you can do to work around the issue until it’s fixed in a future software update:,,,,
2309899,2309899,Anyone else having the issue that all of your snooze alarms are on? Sucks. Can’t turn them off. So much for sleeping in @AppleSupport @115858,@669934 We'd like to better understand what's going on with your alarms. What's your device model and have you tried any steps yet? What about the OS version that's installed on it? let us know in DM.,,,,
2143238,2143238,"@AppleSupport I’m waiting for a new software to my iPhone, this iOS have many troubles ! Please HELP ! I can’t use my cellphone 😖",@630125 Please send us a DM with more details as to what your issue is exactly.,,,,
825549,825549,@AppleSupport guys - this is stuck here. #iOS11,"@244912 Thanks for reaching out. If you play a new song from the Music app, are you able to control it from the Lock screen?",,,,
2802414,2802414,"@AppleSupport It’s been super slow, my apps keep shutting down for no reason and it keeps saying “storage full” when I haven’t done anything different",@781743 Thanks for those details. Let's move to DM so we may better assist you.,,,,
633783,633783,@115858 your new update killed my screen on my iPhone x litterally half of the screen has block dots and it's over heating trying to run the latest update you owe me a new phone I'm switching to Samsung!!!,@270230 That should not be happening. We'd be happy to help. Would you tell us more about what you're experiencing in DM?,,,,
1241482,1241482,@115858 after updating my phone to IOS 11 it magically turned into a pice of cr*p. Plz fix or I might as well use a rotary phone / Samsung,@411212 We don't want you to be without a working iPhone. Send us a DM and we'll work on this together.,,,,
2177208,2177208,"@AppleSupport I just installed mac high sierra, yet I'm still having issues using facetime. I'm getting a verification error. Any options I should explore?",@473513 Thanks for reaching out. Let's start by trying the troubleshooting steps here: Let us know if you're still unable to activate FaceTime after.,,,,
2060040,2060040,"@AppleSupport The battery life of my @115858 #iPad and #iPhone8 have diminished dramatically with #iOS11, even with the updates.",@609280 Let's look at both batteries together. Which model of iPad are you using? Let us know in DM and we'll get started.,,,,
1865522,1865522,@AppleSupport help I'm locked out of my phone and your support page only lists numbers that I can't call because I'm locked out of my phone.,"@557344 We're here to help. Let us know via DM what you currently see on your iPhone's screen, then we can advise you from there.",,,,
810861,810861,"@AppleSupport I had update to ios 11.1, then I have a big problem The Battery Drawning. How to fix this problem? Help me please ...!",@313204 We're here for you! Send us a DM &amp; we'll continue there.,,,,
1232916,1232916,@AppleSupport iOS 11 on both,@409165 Is it showing iOS 11 or iOS 11.0.3 on the iPhone you're attempting to restore? Let us know in a DM and we'll continue.,,,,
950955,950955,Why won’t my phone update to the new iOS ????? @AppleSupport,@345570 We've received your DM. Please look for our reply there soon.,,,,
1543354,1543354,@AppleSupport I’ve been trying for two hours and the iTunes activation doesn’t work either 😡 #iphoneXlaunch,@458611 We can help. Try following these steps and DM us if you still have issues:,,,,
2975817,2975817,meu celular não tem nem dois meses e ja ta dando problema vai tomar no cu @115858,"@820703 Since our Twitter support is available in English, get help at or join",,,,
1947952,1947952,"@AppleSupport hi, I can’t download apps or books. It’s been a few days now. I’ve been trying to download a since this AM.Please help","@578795 We'd like to help. DM us which Apple device you are having issues downloading apps onto, and we'll go from there.",,,,
1470883,1470883,"@AppleSupport Yep, the article is pretty clear—the functionality I’m missing was removed in watchOS 4. I sure wish @115858 would fix this!",@379507 We wanted to ensure you had the information. We welcome feature feedback here:,,,,
2618359,2618359,@AppleSupport Thank you. I will find out on Monday and I will also keep you posted regards the result. Thank you.,@739955 Great. Keep us posted for sure.,,,,
